"supplier_city","supplier_name"
"Bengaluru","Fitbit India"
"Delhi","Whirlpool India"
"Kolkata","Bajaj Electricals"
"Hyderabad","Bose India"
"Delhi","Xiaomi India"
"Ahmedabad","Havells India"
"Mumbai","Nikon India"
"Jaipur","Butterfly Appliances"
"Kolkata","Samsung India"
"Ahmedabad","Voltas Ltd"
"Bengaluru","Bajaj Tech"
"Pune","Microsoft India"
"Chennai","LG Electronics"
"Chennai","Philips India"
"Bengaluru","Pigeon India"
"Hyderabad","Eureka Forbes"
"Mumbai","Sony India"
"Lucknow","Kent RO Systems"
"Pune","Preethi Appliances"
"Mumbai","Tata Electronics"
